ResponseId,StartDate,OverallSatisfaction,OpenResponse,QuestionCategory
R_3MljtwyCjLuA1ON,2/20/20 18:17,9,   Super,3
R_1eQtUt9ATLp5JN6,10/9/18 13:16,6,  My code didn't work,3
R_3po3so5kKcyKgqV,2/28/20 21:44,8,'- 2 because I cannot print enlarged + (sign) items from the books ,1
R_0AkNcvKHC601EDD,3/14/21 17:36,10, am able to use it anywhere anytime,1
R_3qQYhLnF10MZ8lZ,10/10/18 13:45,4, blank,3
R_1CrtgjICR1s26go,9/29/20 19:34,4, can not use word look up,1
R_1n9IeCeS3k3QT6r,3/14/21 15:26,7, content is good but I wish there were how-to videos on how to utilize the formulas and when to use it.,1
R_D8q1jP89lq1CuYh,11/3/20 12:08,7,'- ease of use,1
R_vjDr1LRN2kd8qkx,9/29/20 16:47,10," I am new to the virtual environment and did not know what to expect, but I am doing a great job staying on track.",1
R_33w0AEr2g22e2VT,3/18/21 0:30,10, I can get better help for my homework.,1
R_2dmeTtYiQe4ksoQ,2/3/19 20:58,1, I can't find/access the homework I was working on. 7.99 textbook rental is from another site and not available. The 24/7 helpline isn't 24/7. NO support.,3
R_324oJKClU0C7bFu,2/1/19 14:17,7," I like the program, i just hate having to go through 5 steps to get where I'm trying to go. ",1
R_2dEoHJRgzPg2PDJ,12/15/18 8:09,5," I really like the idea of the voice/reading feature.  I wish that one could follow what is being read by highlighting the text being read (sometimes it works but often it doesn't). I also wish that one could rewind/repeat a certain part of what is being read, or be able to jump to different areas on a page.  It's an all or nothing thing right now.

As for using the e-books, the website seems unstable.  I have had many problems.  Sometimes my books don't work, meaning can't open them, and sometimes when I'm trying to highlight a certain text to copy for my personal notes, it is very difficult.  ",1
R_1o0awnUmKPNCnur,9/6/18 19:04,5," I think it would have been a better experience for me if I were to be to using an actual textbook.
I am not very good with eBooks.",1
R_Q0yXyXTTpgCr1O9,3/3/21 15:24,7, I wish it could stop unlogging me so often as I am reading through the material.,1
R_25tDEoDDfz027iN,3/5/19 16:14,7, It is very difficult to find what is homework and what is extra work. ,4
R_1i9g3jSlbF3lial,12/6/18 22:22,4, it wasn't available for online purchase,3
R_2wvEe7g8KwVJREn,4/17/21 22:22,10,'- Lectures have a lot of knowledge - Website layout clear power delivery,1
R_TjRpFrtWoRuNtC1,2/23/19 16:13,8, slightly confusing with access,4
R_ThoanII3fdgVde1,10/12/20 9:18,10, Students have access to most of the books they need. ,1
R_12mCssMgh2iLAlP,6/23/19 17:09,10, Super easy to read book and I love that it can be accessed anywhere.  Another great benefit are the many great resources for studying!,1
R_ZIiW8vM71fUWy1b,11/16/18 18:03,8, The dashboard should be the first thing you see when you login ,4
R_2s1FdPoUt6QIiXE,2/3/20 14:37,2, Very few courses supported,1
R_2aJQ10RcNkUHTwX,7/17/19 20:45,8, Very satisfied except when I bought it for platform2 it was hard to access other books on publisher1,1
R_1jOs9fc2UR24uCL,10/19/18 14:47,8, When listening to the audio the audio this and keep running while listening to it on the bar and ever my phone it just leave the other aspect and Iâ€™m having and I utilize an iPad Pro with universities already you donâ€™t mind and I was surprised that graph or not compatible with my device I would recommend that the man has students are investing again Iâ€™m at as well ,2
R_psm9PDYBkv6V5tv,3/31/21 20:50,7," While the software is great for studying and helping me along with my course work, I have to say I would like a copy of the book over digital.",1
R_1OpEJHEN0LG2fjg,4/22/20 15:17,4,"""ease"" does not apply to this product, refer to my first comment ",5
R_3iWpEvVPZrr8tSB,1/27/19 22:00,1,"""Generic Error
Error information is listed below. For further details, increase the logging for your WebSphere Commerce system, and check the log file. 

A generic error has occurred. """,4
R_2uVA4gq46SlXSGs,9/10/18 11:48,6,"""On a scale from 1-10, how satisfied are you with the ease of using publisher1?""
Logging in opens a new tab, going to platform2 opens a new tab and going to iLrn opens a new tab, and that is all just very silly.

Also, trying to get to iLrn opens a page with just the key, which has a link to ""Access"" which opens a new tab, which I then have to find the link that will bring me to the login page (because clicking ""Access"" brings me to what is essentially a service that I've already paid for??) and clicking sign in opens yet another tab. 
What I'm trying to say is that your website is unnecessarily complicated.  

""On a scale from 1-10, how satisfied are you with finding the right materials for your course? ""
When trying to find my Spanish text and online materials, I searched the exact title of my textbook and I had to go through at least a page of related materials before I found the base textbook.

",1
R_ZBGrEDCXcyqagzD,4/4/20 8:21,4,"""product2"" is false advertising. Also, it's really a pain to have to log back in every time I leave a window for too long.",1
R_AvAkKppgq9cxngt,2/25/20 21:41,7,$ and books availability ,3
R_3ErP6DtAMNrfqKI,9/26/18 10:02,1,"$100 for 6 months of access, price is ridiculous and it is not advertised as an option for books, so i bought books and then bought this program ",3
R_2rqZESawGFTh5u6,4/21/19 20:06,2,"$119 for 4 months is too much. I will be happy to never pay this money, but I don`t have a choice.",1
R_3JlztQrfguN4vcL,4/26/19 0:28,1,$120. And I don't physically own anything? that's a joke. ,3
R_xlQdSSuU2ZsmFIB,2/11/19 17:20,4,"$7.99 for a print copy is not ""free.""",1
R_1kSlrjbL1seEQM0,11/28/18 20:06,4,"*I realize this is for signing up but need to provide feedback as a user, maybe this will get to someone who can make a difference and make the popup quit nagging me to provide feedback. 
Using Mac OSx/Firefox/Comcast Xfinity/speed > 100 Mps. 
- Online books are slow to load. 
- Latent page scrolling and delays in viewing images. 
- Need to have the option to keep a side bar open for use as a notepad and remain open while navigating through pages, chapters, images, graphs etc.  
- Recommend a simpler single sign on and less click through to the student dashboard. 
- Also, when purchasing the coursework it was not real clear how product2 is compared to the basic or original publisher1. ",2
R_1pR3Z25Trx6VT6X,9/26/18 22:52,7,:) Have a great day! Hope your week goes exceptionally well. ,1
R_1mdP8oANpq8BwOq,3/20/20 19:19,8,0it times out and sometimies thats a hassel,1
R_Dv35Q88b1kCIQ5r,7/2/19 21:06,6,"1- when i click on a course, I am only interested in that page, but publisher1 always stays open. it should be default to navigate away from the publisher1 page and to the platform2 - Not to open in a new tab. 2- platform2 answer type should be clearer (for example the simple i is different than the types letter i) and I lose points based on semantics. phrases like ""Be sure  to use all appropriate symbols from the symbol tab"" would be nice on applicable problems.",1
R_ekVJ4OK8KhZkDKh,11/30/18 17:12,1,1 wrong answer means having to redo entire page instead of one part of one question. It doesn't save correct answers forces you to complete answers you already got right along with the one part you didn't.,2
R_3Dtp2O0pjVF3q9l,10/8/18 21:28,4,"1) I have not received any support to obtain a printed copy of the book, I do not read well off a screen
2) Trying to go from chapter to chapter for reference is archaic
3) Stopping and restarting the voice reader is cumbersome
4) I can get product3 for free without this rental
5) The XLMiner tool was not provided with the book, although that is the tool referenced
6) I spend a lot of money on my books to keep in my library for reference. To spend this much money with no book and no tools is ridiculous!",2
R_29csp5Y3YdgHcSs,4/21/19 11:32,8,"1) lower costs are important -- Now retired, I realize that the ROI on books is great (I marked mine thoroughly and kept them for years), but students have to manage debt, part-time jobs, and other constraints,.  So, books, computers, etc. costs are out-of-balance.   ***2) I talked to publisher1 (excellent customer service) at least half-a-dozen times about taking a text (like I used in on-site labe 20 years ago) and making an e-book by simply adding video, quizzes, etc.  Today's students will not memorize an 800-pp. book (nor should they be expected to do so) about computers !  My quote:  ""Anything that you learn about computers today will have changed yesterday.:  Special note:  Microsoft made a wonderful addition to Office apps -- ""Tell me what you want to do"" ON THE RIBBON.  This is not yet in e-books , etc.  -- how sad !!",1
R_1oolavRY5ETWNxF,3/9/19 21:12,6,"1) Some products still rely on flash, which hinders use 2) I get logged out alot 3) I would like to have access to coursework without a teacher ",1
R_2TBtuFKfSMA0MLQ,3/2/20 19:34,4,1. Costs too much 2. I cant print my assignments and see the whole problem. It'll only show whats on the page. 3. When im doing homework I can see the complete problem or chart im looking at only small windows where I have to keep scrolling. 4. On my assignments where Im allowed more than one submission the answers from my last submission pop up and there's no way to clear the answers so that I can really test myself on the problems.  #. Does not give very good study tool to confirm understanding of the material.- Accounting course- the study tools literally regurgitate the book. And more but I have a test due in 3 hours so I have to go study. Would not recommend. ,1
R_3O6bcHU6VTki9Ys,2/1/19 8:09,6,"1. Does not tell you date subscription is over.
2. Difficult to find platform3 digital course since it does not have the book title in its name
3. Not user friendly.",3
R_2eXzg5kUQ7fy2JA,4/25/19 11:18,3,"1. Homework does not show the correct answers when you're wrong. How are you supposed to learn?  2. The CalcChat answers are FREQUENTLY WRONG due, I suspect, to having the wrong version of the question. 3. The platform2, either quiz, or some other tool, should have a way to enter a problem in, grade it, and view the correct answer/solution. That's only available with the ""try another"" option which is offered infrequently. ",1
R_TonMUXTlHTrF6PT,3/5/20 12:04,2,"1. It's not a bank account so i don't  see the need to constantly logging me out of my account while i doing my homework. It takes a lot of time to log in back to my account, find the chapter, and the specific place i was at the time publisher1 decided to log me out, it is especially crucial when i have couple of minutes left before the due date/time. This ruins the entire experience for me, and i don't even see the need to do so, who would possibly need my textbook, my daughter can hack into it and read something?? Also, i only get the ""textbook"" for the duration of my semester, and sometimes i would like to go back and read or refer to my textbook even after my class is finished. There's definitely enough stress with school, but reading your textbook, or following directions in the chapter without the application constantly logging me out should not be one of them, too much stress, and it takes time to get the concentration back!  ",1
R_3I0E3oU8auo4BGt,6/16/19 9:58,2,1. Paying for online course and still have to pay for book rental. 2. Hard to keep track of assignments from my canvas. ,1
R_2ifpbOeZle6ioSt,10/2/18 3:19,8,"1. publisher1 sometimes won't work with Google Chrome, and I have to do some of my assignments with Microsoft Edge.
2. It is not easy to study the textbook. I need to go back and forth to read two different subjects from two different chapters. I wish that it was like a pdf. file, so I could see the whole book in one page.
3. I am also using the Connect (Mc Graw Hill), and to me, doing the assignments on Connect is much easier than platform1.",4
R_1qV8Sk5vsmhIq4R,11/20/18 13:11,5,"1. Why do you not have a ""remember me"" box on your login page? Why do I have to manually re-enter my login info every time I go to publisher1? 

2. Why does logging in not automatically take me to my dashboard? I don't need the home page. I'm not here for the home page. I'm here to access my textbooks and courses.",1
R_3MM5H9EkMc4BWFU,9/27/18 16:30,4,1/9 books that I need,4
R_SBoB1lIpYQJCE4F,1/24/20 19:51,10,10 percent ,1
R_3015GDPXPIo2d6B,2/20/19 20:27,1,10/10 would not recomend this website but i have no other option to use it for my assigned class. ,1
R_27e8WuUoWtzjlmM,1/29/20 19:25,1,"100 fucking dollars to have access to a textbook and homework that I need to complete a course, absolutely fucking absurd.",1
R_3Ofii9eBjsUsXof,3/18/20 15:17,10,100 satisfied,1
R_2TGfqQPezS2SQJS,4/23/19 23:36,3,180$ for a textbook is unreasonable,1
R_XCdORNjeNpZCxSp,9/23/20 14:03,2,2 year publisher1 play making me to pay for a book but i 2 year plan to give me 2 books for free ,1
R_DGdTjqt78z5beBH,2/21/21 18:37,1,250 dollars for late book rental,1
R_1j8nx8P74Tp04MS,1/30/20 18:47,10,3 of my are classes in one system,1
R_1oFvwfCyOISzzkb,10/19/18 16:01,7,4 months only is not enough for God sake I mean you guys are called product2!,3
R_1qebDFTs1zgVTAA,9/30/20 10:36,10,4easy system,1
R_3NKywJNb4kWU95T,12/10/18 10:44,7,"5 is neutral man, don't make me explain myself for putting the middle option.",1
R_3Mo21N51mE072HX,9/29/20 13:19,5,5 its useful but still challenging to work with ,1
R_1rcYxDeInR4dMjH,10/2/20 0:23,10,5 stars,1
R_1DTQ6b6UzVNfqd1,7/18/19 4:17,1,50 50,3
R_a4d0UHlDyXlek2l,1/15/19 12:44,6,502 gateway time out error,3
R_1C2tbazOfMsafHD,3/18/19 21:14,5,"6/10 times when i try to do my homework, i get frozen out of my account and none of my browsers are working with it. this is rough when trying to complete course work.",1
R_YbuFOxPQ41JFzHj,3/28/21 12:25,9,9 because there is always room for improvement. -(BDE BEATS),1
R_Ut2KrHXkSwXHtpn,10/9/20 15:19,1,"9 out of 10 times I try to use this website it won't load, which is beyond frustrating",1
R_3075ATQYPSyeLcx,2/26/20 21:55,2,"90% of the time when I log in, go to my dashboard, then click on my class, the page does not load and it angers me a lot. do not like this at all and needs to be fixed as it cuts down my time that I could be doing something else other than having to reload my browser an absurd amount of times.",1
