,ResponseId,StartDate,OverallSatisfaction,OpenResponse,LoggingIn,AccessPurchase,PageNumberSearch,Price,Navigation,Products,CustomerSupport,OtherDevices,Technical,Other(Homework),Group Satisfaction,sentiment
0,R_3MljtwyCjLuA1ON,2020-02-20 18:17:00,9,   Super,0,0,0,0,1,0,0,0,0,0,9-10,positive
1,R_1eQtUt9ATLp5JN6,2018-10-09 13:16:00,6,  My code didn't work,0,1,0,0,0,0,0,0,0,0,6-8,neutral
2,R_3po3so5kKcyKgqV,2020-02-28 21:44:00,8,'- 2 because I cannot print enlarged + (sign) items from the books ,0,0,0,0,0,1,0,0,0,0,6-8,neutral
3,R_0AkNcvKHC601EDD,2021-03-14 17:36:00,10, am able to use it anywhere anytime,0,0,0,0,0,0,0,1,0,0,9-10,neutral
4,R_3qQYhLnF10MZ8lZ,2018-10-10 13:45:00,4, blank,1,0,0,0,0,0,0,0,0,1,1-5,neutral
5,R_1CrtgjICR1s26go,2020-09-29 19:34:00,4, can not use word look up,0,0,1,0,0,0,0,0,0,0,1-5,neutral
6,R_1n9IeCeS3k3QT6r,2021-03-14 15:26:00,7, content is good but I wish there were how-to videos on how to utilize the formulas and when to use it.,0,0,0,0,0,0,0,1,0,0,6-8,positive
7,R_D8q1jP89lq1CuYh,2020-11-03 12:08:00,7,'- ease of use,0,0,0,0,1,0,0,0,0,0,6-8,positive
8,R_vjDr1LRN2kd8qkx,2020-09-29 16:47:00,10," I am new to the virtual environment and did not know what to expect, but I am doing a great job staying on track.",0,0,0,0,0,0,0,1,0,0,9-10,positive
9,R_33w0AEr2g22e2VT,2021-03-18 00:30:00,10, I can get better help for my homework.,0,0,0,0,0,0,1,0,0,1,9-10,positive
10,R_2dmeTtYiQe4ksoQ,2019-02-03 20:58:00,1, I can't find/access the homework I was working on. 7.99 textbook rental is from another site and not available. The 24/7 helpline isn't 24/7. NO support.,1,0,0,0,0,1,0,0,0,0,1-5,positive
11,R_324oJKClU0C7bFu,2019-02-01 14:17:00,7," I like the program, i just hate having to go through 5 steps to get where I'm trying to go. ",1,0,0,0,0,0,0,0,0,0,6-8,negative
12,R_2dEoHJRgzPg2PDJ,2018-12-15 08:09:00,5," I really like the idea of the voice/reading feature.  I wish that one could follow what is being read by highlighting the text being read (sometimes it works but often it doesn't). I also wish that one could rewind/repeat a certain part of what is being read, or be able to jump to different areas on a page.  It's an all or nothing thing right now.

As for using the e-books, the website seems unstable.  I have had many problems.  Sometimes my books don't work, meaning can't open them, and sometimes when I'm trying to highlight a certain text to copy for my personal notes, it is very difficult.  ",0,0,1,0,0,0,0,0,0,0,1-5,negative
13,R_1o0awnUmKPNCnur,2018-09-06 19:04:00,5," I think it would have been a better experience for me if I were to be to using an actual textbook.
I am not very good with eBooks.",0,0,0,0,0,0,0,1,0,0,1-5,neutral
14,R_Q0yXyXTTpgCr1O9,2021-03-03 15:24:00,7, I wish it could stop unlogging me so often as I am reading through the material.,0,0,0,0,0,0,0,1,0,0,6-8,neutral
15,R_25tDEoDDfz027iN,2019-03-05 16:14:00,7, It is very difficult to find what is homework and what is extra work. ,0,0,0,0,1,0,0,0,0,0,6-8,negative
16,R_1i9g3jSlbF3lial,2018-12-06 22:22:00,4, it wasn't available for online purchase,0,0,0,0,0,1,0,0,0,0,1-5,neutral
17,R_2wvEe7g8KwVJREn,2021-04-17 22:22:00,10,'- Lectures have a lot of knowledge - Website layout clear power delivery,0,0,0,0,0,0,0,0,0,1,9-10,positive
18,R_TjRpFrtWoRuNtC1,2019-02-23 16:13:00,8, slightly confusing with access,0,0,0,0,1,0,0,0,0,0,6-8,neutral
19,R_ThoanII3fdgVde1,2020-10-12 09:18:00,10, Students have access to most of the books they need. ,0,1,0,1,0,0,0,0,0,0,9-10,neutral
20,R_12mCssMgh2iLAlP,2019-06-23 17:09:00,10, Super easy to read book and I love that it can be accessed anywhere.  Another great benefit are the many great resources for studying!,0,0,0,0,0,0,0,1,0,0,9-10,positive
21,R_ZIiW8vM71fUWy1b,2018-11-16 18:03:00,8, The dashboard should be the first thing you see when you login ,1,0,0,0,0,0,0,0,0,0,6-8,neutral
22,R_2s1FdPoUt6QIiXE,2020-02-03 14:37:00,2, Very few courses supported,0,0,0,0,0,0,0,0,1,0,1-5,positive
